Longitude,Latitude,MAR,LogMAR
1.37,78.87,1.26839E-10,-9.896746616
361.37,78.87,1.26839E-10,-9.896746616
299,77,1.26839E-12,-11.89674662
-61,77,1.26839E-12,-11.89674662
317.68,75.1,2.53678E-13,-12.59571662
-42.32,75.1,2.53678E-13,-12.59571662
353.28,74.58,9.83004E-11,-10.00744491
-6.72,74.58,9.83004E-11,-10.00744491
322.37,72.58,2.85388E-13,-12.5445641
-37.63,72.58,2.85388E-13,-12.5445641
333,71,1.90259E-12,-11.72065536
-27,71,1.90259E-12,-11.72065536
316,65,6.34196E-13,-12.19777661
-44,65,6.34196E-13,-12.19777661
197.9,63.45,1.17326E-09,-8.930604883
-162.1,63.45,1.17326E-09,-8.930604883
340,60,6.34196E-12,-11.19777661
-20,60,6.34196E-12,-11.19777661
338.85,54.58,3.2344E-11,-10.49020644
338.85,54.58,5.80289E-11,-10.23635552
-21.15,54.58,3.2344E-11,-10.49020644
-21.15,54.58,5.80289E-11,-10.23635552
215.02,50,9.51294E-12,-11.02168535
-144.98,50,9.51294E-12,-11.02168535
21.36,48.8,6.70007E-10,-9.173920504
381.36,48.8,6.70007E-10,-9.173920504
21.37,48.15,1.7839E-09,-8.748630127
381.37,48.15,1.7839E-09,-8.748630127
340.5,47.83,8.87874E-11,-10.05164858
-19.5,47.83,8.87874E-11,-10.05164858
21.56,47.79,1.13852E-09,-8.943660683
381.56,47.79,1.13852E-09,-8.943660683
339.13,47.72,9.83004E-11,-10.00744491
-20.87,47.72,9.83004E-11,-10.00744491
21.57,47.53,1.49969E-09,-8.823997182
381.57,47.53,1.49969E-09,-8.823997182
19.81,47.51,6.96002E-10,-9.15738982
379.81,47.51,6.96002E-10,-9.15738982
162.12,46.82,2.72704E-11,-10.56430816
522.12,46.82,2.72704E-11,-10.56430816
161.7,46.6,1.55378E-10,-9.808610527
521.7,46.6,1.55378E-10,-9.808610527
175.03,46.12,1.29693E-10,-9.887083299
535.03,46.12,1.29693E-10,-9.887083299
7.88,45.93,1.26839E-11,-10.89674662
367.88,45.93,1.26839E-11,-10.89674662
6.87,45.83,6.34196E-12,-11.19777661
366.87,45.83,6.34196E-12,-11.19777661
19.48,45.67,1.13775E-09,-8.943954173
379.48,45.67,1.13775E-09,-8.943954173
177.52,45.37,7.29325E-11,-10.13707877
537.52,45.37,7.29325E-11,-10.13707877
216.63,44.54,1.90259E-11,-10.72065536
-143.37,44.54,1.90259E-11,-10.72065536
85.63,44.33,9.11657E-10,-9.040168758
445.63,44.33,9.11657E-10,-9.040168758
196.79,44.29,6.97615E-11,-10.15638393
-163.21,44.29,6.97615E-11,-10.15638393
196.67,44.22,6.02486E-11,-10.22005301
-163.33,44.22,6.02486E-11,-10.22005301
176.5,44.05,6.97615E-11,-10.15638393
536.5,44.05,6.97615E-11,-10.15638393
211.94,43.37,8.87874E-11,-10.05164858
-148.06,43.37,8.87874E-11,-10.05164858
166.9,43.28,2.53678E-10,-9.59571662
526.9,43.28,2.53678E-10,-9.59571662
181.48,43.24,4.12227E-11,-10.38486325
-178.52,43.24,4.12227E-11,-10.38486325
150.23,43,5.70776E-11,-10.2435341
202.5,43,3.17098E-11,-10.49880661
510.23,43,5.70776E-11,-10.2435341
-157.5,43,3.17098E-11,-10.49880661
155.9,42.2,1.77575E-10,-9.75061858
515.9,42.2,1.77575E-10,-9.75061858
119.02,42.17,9.91882E-10,-9.003539863
479.02,42.17,9.91882E-10,-9.003539863
9.08,42.15,3.88445E-10,-9.410670518
369.08,42.15,3.88445E-10,-9.410670518
160.36,42.05,6.97615E-11,-10.15638393
520.36,42.05,6.97615E-11,-10.15638393
2.4,41.79,1.6172E-10,-9.791236431
362.4,41.79,1.6172E-10,-9.791236431
146.5,41.5,6.88102E-10,-9.162346873
506.5,41.5,6.88102E-10,-9.162346873
210.45,41.48,1.58549E-11,-10.7998366
-149.55,41.48,1.58549E-11,-10.7998366
188.43,41.42,3.48808E-11,-10.45741392
-171.57,41.42,3.48808E-11,-10.45741392
227.78,41.04,1.26839E-11,-10.89674662
-132.22,41.04,1.26839E-11,-10.89674662
138.7,40.83,1.55378E-10,-9.808610527
498.7,40.83,1.55378E-10,-9.808610527
166.98,40.68,9.51294E-11,-10.02168535
526.98,40.68,9.51294E-11,-10.02168535
146.47,40.52,5.10528E-10,-9.291980731
506.47,40.52,5.10528E-10,-9.291980731
208.61,40.11,9.51294E-12,-11.02168535
-151.39,40.11,9.51294E-12,-11.02168535
197.7,40.08,8.56164E-11,-10.06744284
-162.3,40.08,8.56164E-11,-10.06744284
145.43,40,2.32116E-10,-9.634295526
505.43,40,2.32116E-10,-9.634295526
115.68,39.98,1.74404E-10,-9.758443917
475.68,39.98,1.74404E-10,-9.758443917
103.3,39.88,3.69039E-09,-8.432928254
103.3,39.88,2.82249E-09,-8.549367806
463.3,39.88,3.69039E-09,-8.432928254
463.3,39.88,2.82249E-09,-8.549367806
157.6,39.7,2.09285E-10,-9.679262671
517.6,39.7,2.09285E-10,-9.679262671
219.97,39.57,1.58549E-11,-10.7998366
-140.03,39.57,1.58549E-11,-10.7998366
173.43,39.38,6.02486E-11,-10.22005301
533.43,39.38,6.02486E-11,-10.22005301
9.5,39,3.01243E-10,-9.521083002
25,39,7.57864E-10,-9.120408706
181.83,39,1.90259E-11,-10.72065536
369.5,39,3.01243E-10,-9.521083002
385,39,7.57864E-10,-9.120408706
-178.17,39,1.90259E-11,-10.72065536
179.3,38.6,7.61035E-11,-10.11859537
539.3,38.6,7.61035E-11,-10.11859537
109.7,38.35,5.87836E-09,-8.230743729
109.7,38.35,3.53723E-09,-8.451337032
469.7,38.35,5.87836E-09,-8.230743729
469.7,38.35,3.53723E-09,-8.451337032
198.94,38.22,4.12227E-11,-10.38486325
-161.06,38.22,4.12227E-11,-10.38486325
252.5,38,5.82192E-10,-9.23493393
252.5,38,6.41489E-10,-9.192810724
-107.5,38,5.82192E-10,-9.23493393
-107.5,38,6.41489E-10,-9.192810724
156.6,37.7,3.17098E-10,-9.498806607
163,37.7,5.39066E-11,-10.26835769
516.6,37.7,3.17098E-10,-9.498806607
523,37.7,5.39066E-11,-10.26835769
110.72,37.57,8.42212E-10,-9.074578536
470.72,37.57,8.42212E-10,-9.074578536
174.95,37.4,2.51459E-10,-9.59953342
174.95,37.4,2.78095E-10,-9.555807014
534.95,37.4,2.51459E-10,-9.59953342
