Longitude,Latitude,MAR,LogMAR
299,77,2.53678E-12,-11.59571662
-61,77,2.53678E-12,-11.59571662
317.68,75.1,5.39066E-12,-11.26835769
-42.32,75.1,5.39066E-12,-11.26835769
322.37,72.58,1.03374E-11,-10.98558901
-37.63,72.58,1.03374E-11,-10.98558901
129.42,71.77,2.6002E-09,-8.584992755
489.42,71.77,2.6002E-09,-8.584992755
333,71,3.80518E-12,-11.41962536
-27,71,3.80518E-12,-11.41962536
136,70.8,3.2344E-09,-8.490206435
496,70.8,3.2344E-09,-8.490206435
131.6,70.7,3.83688E-09,-8.416021237
143.6,70.7,1.52207E-09,-8.81756537
491.6,70.7,3.83688E-09,-8.416021237
503.6,70.7,1.52207E-09,-8.81756537
151,70.6,2.21969E-10,-9.653708567
511,70.6,2.21969E-10,-9.653708567
147,70.5,2.12456E-09,-8.672731804
507,70.5,2.12456E-09,-8.672731804
159,68.6,4.31253E-09,-8.365267699
519,68.6,4.31253E-09,-8.365267699
162.3,68.2,8.56164E-10,-9.067442843
522.3,68.2,8.56164E-10,-9.067442843
316,65,1.07813E-11,-10.96732769
-44,65,1.07813E-11,-10.96732769
197.9,63.45,2.75875E-09,-8.559287354
-162.1,63.45,2.75875E-09,-8.559287354
92.9,56.1,1.28108E-08,-7.892425242
452.9,56.1,1.28108E-08,-7.892425242
93.2,56,3.99543E-09,-8.398436062
453.2,56,3.99543E-09,-8.398436062
86.1,55.6,2.40994E-09,-8.617993015
446.1,55.6,2.40994E-09,-8.617993015
91.5,55.2,3.51979E-09,-8.453483628
451.5,55.2,3.51979E-09,-8.453483628
91.4,55.1,8.49822E-09,-8.070671813
451.4,55.1,8.49822E-09,-8.070671813
38.7,55,2.15627E-09,-8.666297694
83.2,55,4.15398E-09,-8.381535311
87,55,3.39295E-09,-8.469422829
398.7,55,2.15627E-09,-8.666297694
443.2,55,4.15398E-09,-8.381535311
447,55,3.39295E-09,-8.469422829
87.1,54.5,3.99543E-09,-8.398436062
447.1,54.5,3.99543E-09,-8.398436062
34.06,53.15,3.10756E-09,-8.507580531
394.06,53.15,3.10756E-09,-8.507580531
103,53.1,5.61263E-09,-8.250833341
463,53.1,5.61263E-09,-8.250833341
36.3,53,2.15627E-09,-8.666297694
396.3,53,2.15627E-09,-8.666297694
34.2,52.8,5.26383E-09,-8.278698519
103.2,52.8,3.20269E-09,-8.494485233
394.2,52.8,5.26383E-09,-8.278698519
463.2,52.8,3.20269E-09,-8.494485233
83.6,52.6,4.81989E-09,-8.316963019
443.6,52.6,4.81989E-09,-8.316963019
83.6,52.5,3.99543E-09,-8.398436062
443.6,52.5,3.99543E-09,-8.398436062
85.1,52.3,9.29097E-09,-8.031938987
445.1,52.3,9.29097E-09,-8.031938987
33.3,52.2,6.24683E-09,-8.204340381
393.3,52.2,6.24683E-09,-8.204340381
38.9,51.6,2.28311E-09,-8.641474111
398.9,51.6,2.28311E-09,-8.641474111
42,51,1.42694E-09,-8.845594093
402,51,1.42694E-09,-8.845594093
5.6,50.84,3.5515E-09,-8.449588584
365.6,50.84,3.5515E-09,-8.449588584
5.54,50.68,2.02943E-09,-8.692626633
365.54,50.68,2.02943E-09,-8.692626633
5.4,50.67,4.43937E-09,-8.352678571
365.4,50.67,4.43937E-09,-8.352678571
7.24,50.57,4.43937E-09,-8.352678571
367.24,50.57,4.43937E-09,-8.352678571
4.02,50.41,3.26611E-09,-8.485969382
364.02,50.41,3.26611E-09,-8.485969382
7.35,50.35,6.18341E-09,-8.208771996
367.35,50.35,6.18341E-09,-8.208771996
24.5,50.31,3.45637E-09,-8.461380109
384.5,50.31,3.45637E-09,-8.461380109
1.23,49.6,1.90259E-09,-8.720655357
361.23,49.6,1.90259E-09,-8.720655357
0.36,49.54,5.45408E-09,-8.26327816
360.36,49.54,5.45408E-09,-8.26327816
32.98,49.33,1.58549E-09,-8.799836603
392.98,49.33,1.58549E-09,-8.799836603
8.8,49.3,1.67428E-08,-7.776172684
368.8,49.3,1.67428E-08,-7.776172684
9.18,49.13,2.37823E-09,-8.623745344
369.18,49.13,2.37823E-09,-8.623745344
24.8,49.1,1.77575E-09,-8.75061858
384.8,49.1,1.77575E-09,-8.75061858
9.14,49.04,1.90259E-09,-8.720655357
369.14,49.04,1.90259E-09,-8.720655357
16.66,48.89,6.02486E-09,-8.220053006
376.66,48.89,6.02486E-09,-8.220053006
