period,lat,lon,time,dep,log_dep,log_dep_norm
1.0,-87.8638,0.0,6.5,0.0006014281,-3.2208164,-2.3273919
1.0,-87.8638,2.8125,6.5,0.0005913802,-3.2281332,-2.333718
1.0,-87.8638,5.625,6.5,0.0005909413,-3.2284558,-2.333997
1.0,-87.8638,8.4375,6.5,0.00057192624,-3.24266,-2.346278
1.0,-87.8638,11.25,6.5,0.00056922063,-3.2447193,-2.3480585
1.0,-87.8638,14.0625,6.5,0.0005538529,-3.2566056,-2.3583353
1.0,-87.8638,16.875,6.5,0.00053108303,-3.2748375,-2.3740985
1.0,-87.8638,19.6875,6.5,0.0005404164,-3.2672715,-2.367557
1.0,-87.8638,22.5,6.5,0.0005395894,-3.2679367,-2.368132
1.0,-87.8638,25.3125,6.5,0.00053568045,-3.2710943,-2.3708622
1.0,-87.8638,28.125,6.5,0.0005366165,-3.270336,-2.3702066
1.0,-87.8638,30.9375,6.5,0.000536198,-3.270675,-2.3704996
1.0,-87.8638,33.75,6.5,0.0005358834,-3.2709296,-2.37072
1.0,-87.8638,36.5625,6.5,0.00053556473,-3.271188,-2.3709433
1.0,-87.8638,39.375,6.5,0.00053546095,-3.2712722,-2.371016
1.0,-87.8638,42.1875,6.5,0.0005332698,-3.273053,-2.3725557
1.0,-87.8638,45.0,6.5,0.00050960586,-3.2927656,-2.3895993
1.0,-87.8638,47.8125,6.5,0.0005136374,-3.2893434,-2.3866403
1.0,-87.8638,50.625,6.5,0.0005128842,-3.2899806,-2.3871913
1.0,-87.8638,53.4375,6.5,0.00051816116,-3.285535,-2.3833477
1.0,-87.8638,56.25,6.5,0.00052439346,-3.2803428,-2.3788586
1.0,-87.8638,59.0625,6.5,0.0005213642,-3.2828588,-2.381034
1.0,-87.8638,61.875,6.5,0.00051225367,-3.290515,-2.3876534
1.0,-87.8638,64.6875,6.5,0.00060401985,-3.2189488,-2.3257773
1.0,-87.8638,67.5,6.5,0.00058482913,-3.232971,-2.3379009
1.0,-87.8638,70.3125,6.5,0.00058346114,-3.233988,-2.3387802
1.0,-87.8638,73.125,6.5,0.00060489716,-3.2183185,-2.3252323
1.0,-87.8638,75.9375,6.5,0.0006128843,-3.2126215,-2.3203065
1.0,-87.8638,78.75,6.5,0.0005650708,-3.2478971,-2.350806
1.0,-87.8638,81.5625,6.5,0.0005625055,-3.2498732,-2.3525145
1.0,-87.8638,84.375,6.5,0.0005560122,-3.2549157,-2.3568742
1.0,-87.8638,87.1875,6.5,0.0005490994,-3.260349,-2.3615718
1.0,-87.8638,90.0,6.5,0.0005150078,-3.288186,-2.3856397
1.0,-87.8638,92.8125,6.5,0.0005145365,-3.2885838,-2.3859837
1.0,-87.8638,95.625,6.5,0.0005124635,-3.290337,-2.3874996
1.0,-87.8638,98.4375,6.5,0.0005158645,-3.2874644,-2.3850157
1.0,-87.8638,101.25,6.5,0.0005164026,-3.2870116,-2.3846242
1.0,-87.8638,104.0625,6.5,0.0005128269,-3.2900293,-2.3872335
1.0,-87.8638,106.875,6.5,0.0005173429,-3.2862215,-2.3839412
1.0,-87.8638,109.6875,6.5,0.0005224975,-3.2819157,-2.3802183
1.0,-87.8638,112.5,6.5,0.000528811,-3.2766995,-2.3757086
