period,lat,lon,time,dep,log_dep,log_dep_norm
2.0,-87.8638,0.0,6.5,0.016011778,-1.7955605,-2.088098
2.0,-87.8638,2.8125,6.5,0.015978448,-1.7964654,-2.0890124
2.0,-87.8638,5.625,6.5,0.016248558,-1.7891852,-2.0816567
2.0,-87.8638,8.4375,6.5,0.016435636,-1.7842134,-2.0766332
2.0,-87.8638,11.25,6.5,0.016343476,-1.7866555,-2.0791008
2.0,-87.8638,14.0625,6.5,0.01636459,-1.7860949,-2.0785341
2.0,-87.8638,16.875,6.5,0.01631625,-1.7873796,-2.0798323
2.0,-87.8638,19.6875,6.5,0.016342789,-1.7866738,-2.0791192
2.0,-87.8638,22.5,6.5,0.016480386,-1.7830327,-2.0754402
2.0,-87.8638,25.3125,6.5,0.016741982,-1.7761931,-2.0685296
2.0,-87.8638,28.125,6.5,0.016619839,-1.7793732,-2.0717428
2.0,-87.8638,30.9375,6.5,0.016720759,-1.776744,-2.0690863
2.0,-87.8638,33.75,6.5,0.016469259,-1.7833259,-2.0757365
2.0,-87.8638,36.5625,6.5,0.015602939,-1.8067936,-2.0994477
2.0,-87.8638,39.375,6.5,0.015636018,-1.8058739,-2.0985184
2.0,-87.8638,42.1875,6.5,0.015664669,-1.8050787,-2.0977151
2.0,-87.8638,45.0,6.5,0.01580274,-1.8012676,-2.0938644
2.0,-87.8638,47.8125,6.5,0.016004495,-1.795758,-2.0882976
2.0,-87.8638,50.625,6.5,0.015760675,-1.8024251,-2.095034
2.0,-87.8638,53.4375,6.5,0.01575789,-1.8025019,-2.0951116
2.0,-87.8638,56.25,6.5,0.01567081,-1.8049085,-2.097543
2.0,-87.8638,59.0625,6.5,0.0154282255,-1.811684,-2.104389
2.0,-87.8638,61.875,6.5,0.016135367,-1.7922212,-2.0847242
2.0,-87.8638,64.6875,6.5,0.01571109,-1.8037937,-2.0964167
2.0,-87.8638,67.5,6.5,0.015524296,-1.8089881,-2.101665
2.0,-87.8638,70.3125,6.5,0.015683513,-1.8045566,-2.0971875
2.0,-87.8638,73.125,6.5,0.01566237,-1.8051425,-2.0977798
2.0,-87.8638,75.9375,6.5,0.015843507,-1.8001487,-2.0927339
2.0,-87.8638,78.75,6.5,0.015787188,-1.8016952,-2.0942967
2.0,-87.8638,81.5625,6.5,0.015748575,-1.8027587,-2.095371
2.0,-87.8638,84.375,6.5,0.01570272,-1.804025,-2.0966506
2.0,-87.8638,87.1875,6.5,0.015650697,-1.8054663,-2.0981069
2.0,-87.8638,90.0,6.5,0.015805319,-1.8011967,-2.093793
2.0,-87.8638,92.8125,6.5,0.01573271,-1.8031964,-2.0958133
2.0,-87.8638,95.625,6.5,0.01565768,-1.8052726,-2.097911
2.0,-87.8638,98.4375,6.5,0.015577018,-1.8075156,-2.1001773
2.0,-87.8638,101.25,6.5,0.015329247,-1.8144791,-2.107213
2.0,-87.8638,104.0625,6.5,0.015238922,-1.8170458,-2.1098065
2.0,-87.8638,106.875,6.5,0.015139533,-1.8198875,-2.1126776
2.0,-87.8638,109.6875,6.5,0.014992436,-1.8241278,-2.116962
2.0,-87.8638,112.5,6.5,0.014798885,-1.829771,-2.1226637
2.0,-87.8638,115.3125,6.5,0.015126809,-1.8202527,-2.1130464
2.0,-87.8638,118.125,6.5,0.014571086,-1.836508,-2.1294706
2.0,-87.8638,120.9375,6.5,0.014543474,-1.8373319,-2.1303031
2.0,-87.8638,123.75,6.5,0.014243377,-1.846387,-2.1394522
2.0,-87.8638,126.5625,6.5,0.014228333,-1.846846,-2.139916
2.0,-87.8638,129.375,6.5,0.014200385,-1.8476999,-2.1407785
2.0,-87.8638,132.1875,6.5,0.014451426,-1.8400893,-2.133089
2.0,-87.8638,135.0,6.5,0.014342074,-1.8433881,-2.1364222
2.0,-87.8638,137.8125,6.5,0.014503076,-1.8385398,-2.1315234
2.0,-87.8638,140.625,6.5,0.014454153,-1.8400073,-2.133006
2.0,-87.8638,143.4375,6.5,0.014434133,-1.8406093,-2.1336145
2.0,-87.8638,146.25,6.5,0.014414335,-1.8412054,-2.1342165
2.0,-87.8638,149.0625,6.5,0.014194059,-1.8478934,-2.1409743
2.0,-87.8638,151.875,6.5,0.014271734,-1.8455232,-2.1385794
2.0,-87.8638,154.6875,6.5,0.01424827,-1.8462379,-2.1393015
2.0,-87.8638,157.5,6.5,0.01412484,-1.8500165,-2.1431193
2.0,-87.8638,160.3125,6.5,0.013745296,-1.8618459,-2.1550715
2.0,-87.8638,163.125,6.5,0.013276635,-1.876912,-2.170294
2.0,-87.8638,165.9375,6.5,0.013270054,-1.8771273,-2.1705115
2.0,-87.8638,168.75,6.5,0.012874888,-1.8902565,-2.183777
2.0,-87.8638,171.5625,6.5,0.01288615,-1.8898768,-2.1833932
2.0,-87.8638,174.375,6.5,0.01287133,-1.8903766,-2.1838982
2.0,-87.8638,177.1875,6.5,0.012838673,-1.8914798,-2.185013
2.0,-87.8638,180.0,6.5,0.012896981,-1.889512,-2.1830246
2.0,-87.8638,-177.1875,6.5,0.012970378,-1.8870474,-2.1805346
2.0,-87.8638,-174.375,6.5,0.013060444,-1.884042,-2.1774979
2.0,-87.8638,-171.5625,6.5,0.0131599745,-1.8807449,-2.1741667
2.0,-87.8638,-168.75,6.5,0.013469893,-1.8706359,-2.1639528
2.0,-87.8638,-165.9375,6.5,0.013575285,-1.867251,-2.1605327
2.0,-87.8638,-163.125,6.5,0.0136804655,-1.8638991,-2.157146
2.0,-87.8638,-160.3125,6.5,0.013780497,-1.8607352,-2.1539493
2.0,-87.8638,-157.5,6.5,0.013873169,-1.8578243,-2.1510081
2.0,-87.8638,-154.6875,6.5,0.014197084,-1.8478009,-2.1408808
2.0,-87.8638,-151.875,6.5,0.01449762,-1.8387033,-2.1316888
2.0,-87.8638,-149.0625,6.5,0.0145520745,-1.8370751,-2.1300437
2.0,-87.8638,-146.25,6.5,0.0145905,-1.8359299,-2.1288865
2.0,-87.8638,-143.4375,6.5,0.014607953,-1.8354106,-2.1283617
2.0,-87.8638,-140.625,6.5,0.014611115,-1.8353167,-2.1282668
2.0,-87.8638,-137.8125,6.5,0.014563883,-1.8367229,-2.1296875
2.0,-87.8638,-135.0,6.5,0.014517759,-1.8381004,-2.1310794
2.0,-87.8638,-132.1875,6.5,0.014459084,-1.8398592,-2.1328566
2.0,-87.8638,-129.375,6.5,0.014468691,-1.8395708,-2.132565
2.0,-87.8638,-126.5625,6.5,0.014343921,-1.8433322,-2.1363657
2.0,-87.8638,-123.75,6.5,0.016273227,-1.7885263,-2.0809908
2.0,-87.8638,-120.9375,6.5,0.013116097,-1.8821954,-2.1756322
2.0,-87.8638,-118.125,6.5,0.014841878,-1.8285111,-2.1213908
2.0,-87.8638,-115.3125,6.5,0.013280983,-1.8767698,-2.1701503
2.0,-87.8638,-112.5,6.5,0.014506889,-1.8384258,-2.1314082
2.0,-87.8638,-109.6875,6.5,0.01446767,-1.8396014,-2.1325963
2.0,-87.8638,-106.875,6.5,0.014510024,-1.8383318,-2.1313133
2.0,-87.8638,-104.0625,6.5,0.0131745655,-1.8802637,-2.1736805
2.0,-87.8638,-101.25,6.5,0.013841993,-1.8588014,-2.1519952
2.0,-87.8638,-98.4375,6.5,0.014034819,-1.8527932,-2.1459248
2.0,-87.8638,-95.625,6.5,0.014493257,-1.838834,-2.1318207
2.0,-87.8638,-92.8125,6.5,0.014537083,-1.8375227,-2.1304958
2.0,-87.8638,-90.0,6.5,0.014686733,-1.8330748,-2.1260018
2.0,-87.8638,-87.1875,6.5,0.014834514,-1.8287266,-2.1216085
2.0,-87.8638,-84.375,6.5,0.014935909,-1.8257684,-2.1186194
2.0,-87.8638,-81.5625,6.5,0.015037705,-1.8228184,-2.115639
2.0,-87.8638,-78.75,6.5,0.015126742,-1.8202546,-2.1130483
2.0,-87.8638,-75.9375,6.5,0.015023921,-1.8232167,-2.1160412
2.0,-87.8638,-73.125,6.5,0.01503525,-1.8228893,-2.1157105
2.0,-87.8638,-70.3125,6.5,0.015094056,-1.821194,-2.1139977
2.0,-87.8638,-67.5,6.5,0.015145907,-1.8197047,-2.112493
2.0,-87.8638,-64.6875,6.5,0.015367984,-1.8133831,-2.1061056
2.0,-87.8638,-61.875,6.5,0.01510526,-1.8208718,-2.113672
2.0,-87.8638,-59.0625,6.5,0.015296844,-1.8153982,-2.1081417
2.0,-87.8638,-56.25,6.5,0.014797068,-1.8298243,-2.1227176
2.0,-87.8638,-53.4375,6.5,0.014816195,-1.8292633,-2.122151
2.0,-87.8638,-50.625,6.5,0.014839822,-1.8285713,-2.1214516
2.0,-87.8638,-47.8125,6.5,0.014856484,-1.828084,-2.120959
2.0,-87.8638,-45.0,6.5,0.014870047,-1.8276876,-2.1205587
2.0,-87.8638,-42.1875,6.5,0.014878545,-1.8274395,-2.120308
2.0,-87.8638,-39.375,6.5,0.014886725,-1.8272009,-2.120067
2.0,-87.8638,-36.5625,6.5,0.014888515,-1.8271487,-2.1200142
2.0,-87.8638,-33.75,6.5,0.014886138,-1.8272179,-2.1200843
2.0,-87.8638,-30.9375,6.5,0.015058426,-1.8222204,-2.1150348
2.0,-87.8638,-28.125,6.5,0.015728088,-1.8033241,-2.0959423
2.0,-87.8638,-25.3125,6.5,0.015709378,-1.803841,-2.0964646
2.0,-87.8638,-22.5,6.5,0.015690066,-1.8043753,-2.0970044
2.0,-87.8638,-19.6875,6.5,0.016365025,-1.7860833,-2.0785227
2.0,-87.8638,-16.875,6.5,0.01677606,-1.77531,-2.0676374
2.0,-87.8638,-14.0625,6.5,0.01669747,-1.7773494,-2.069698
2.0,-87.8638,-11.25,6.5,0.01608339,-1.7936224,-2.08614
2.0,-87.8638,-8.4375,6.5,0.016026922,-1.7951499,-2.0876834
2.0,-87.8638,-5.625,6.5,0.015958238,-1.7970151,-2.089568
2.0,-87.8638,-2.8125,6.5,0.015902052,-1.7985468,-2.0911152
2.0,-85.0965,0.0,6.5,0.0208986,-1.6798828,-1.9712197
2.0,-85.0965,2.8125,6.5,0.020503582,-1.6881702,-1.9795932
2.0,-85.0965,5.625,6.5,0.020688089,-1.6842797,-1.9756622
2.0,-85.0965,8.4375,6.5,0.020730505,-1.6833901,-1.9747635
2.0,-85.0965,11.25,6.5,0.020499568,-1.6882553,-1.9796791
2.0,-85.0965,14.0625,6.5,0.020431582,-1.689698,-1.9811368
2.0,-85.0965,16.875,6.5,0.020365207,-1.6911112,-1.9825647
2.0,-85.0965,19.6875,6.5,0.020420209,-1.6899399,-1.9813812
2.0,-85.0965,22.5,6.5,0.0208593,-1.6807003,-1.9720458
2.0,-85.0965,25.3125,6.5,0.021009935,-1.6775752,-1.9688883
2.0,-85.0965,28.125,6.5,0.02118051,-1.6740636,-1.9653401
2.0,-85.0965,30.9375,6.5,0.020662842,-1.6848099,-1.976198
2.0,-85.0965,33.75,6.5,0.019391425,-1.7123903,-2.0040646
2.0,-85.0965,36.5625,6.5,0.019476583,-1.7104872,-2.002142
2.0,-85.0965,39.375,6.5,0.0195606,-1.7086178,-2.000253
2.0,-85.0965,42.1875,6.5,0.019700631,-1.7055198,-1.9971229
2.0,-85.0965,45.0,6.5,0.01979788,-1.7033813,-1.9949621
2.0,-85.0965,47.8125,6.5,0.020020016,-1.6985356,-1.990066
2.0,-85.0965,50.625,6.5,0.01972692,-1.7049407,-1.9965377
2.0,-85.0965,53.4375,6.5,0.019693347,-1.7056805,-1.9972852
2.0,-85.0965,56.25,6.5,0.019637238,-1.7069196,-1.9985371
2.0,-85.0965,59.0625,6.5,0.019285064,-1.7147789,-2.006478
2.0,-85.0965,61.875,6.5,0.020071013,-1.6974307,-1.9889498
2.0,-85.0965,64.6875,6.5,0.01950838,-1.7097788,-2.001426
2.0,-85.0965,67.5,6.5,0.01921629,-1.7163304,-2.0080457
2.0,-85.0965,70.3125,6.5,0.019251779,-1.7155291,-2.007236
2.0,-85.0965,73.125,6.5,0.019315831,-1.7140867,-2.0057786
2.0,-85.0965,75.9375,6.5,0.019212142,-1.7164242,-2.0081403
2.0,-85.0965,78.75,6.5,0.01898717,-1.7215397,-2.013309
2.0,-85.0965,81.5625,6.5,0.018748634,-1.7270304,-2.0188568
2.0,-85.0965,84.375,6.5,0.018553538,-1.7315732,-2.0234468
2.0,-85.0965,87.1875,6.5,0.018306611,-1.7373921,-2.029326
2.0,-85.0965,90.0,6.5,0.018218834,-1.7394794,-2.031435
2.0,-85.0965,92.8125,6.5,0.017905695,-1.7470088,-2.0390425
2.0,-85.0965,95.625,6.5,0.017619561,-1.754005,-2.046111
2.0,-85.0965,98.4375,6.5,0.017299721,-1.7619609,-2.0541499
2.0,-85.0965,101.25,6.5,0.016798755,-1.7747229,-2.0670443
2.0,-85.0965,104.0625,6.5,0.016453227,-1.7837489,-2.0761638
2.0,-85.0965,106.875,6.5,0.015982699,-1.7963499,-2.0888958
2.0,-85.0965,109.6875,6.5,0.01574512,-1.8028541,-2.0954673
2.0,-85.0965,112.5,6.5,0.015701892,-1.8040481,-2.0966737
